band,bandLabel,reclabel
Q3623,Dukes of Dixieland,Q4819829
Q11647,Nine Inch Nails,Q183387
Q11647,Nine Inch Nails,Q190585
Q11647,Nine Inch Nails,Q202440
Q11647,Nine Inch Nails,Q231694
Q11647,Nine Inch Nails,Q656752
Q11647,Nine Inch Nails,Q2085119
Q11647,Nine Inch Nails,Q2283665
Q11647,Nine Inch Nails,Q3042946
Q11647,Nine Inch Nails,Q38903
Q48978,LMFAO,Q231694
Q48978,LMFAO,Q1949791
Q48978,LMFAO,Q21091
Q48978,LMFAO,Q21089
Q371,!!!,Q543707
Q371,!!!,Q1853623
Q116411,Steel Magnolia,Q2902300
Q116936,The dB's,Q4876789
Q117669,Street Dogs,Q1239845
Q117669,Street Dogs,Q17020919
Q118966,Black Oak Arkansas,Q585643
Q118966,Black Oak Arkansas,Q1397901
Q122739,Bitch,Q756320
Q122898,The System,Q202440
Q122898,The System,Q585643
Q165193,Avenged Sevenfold,Q193023
Q165193,Avenged Sevenfold,Q843402
Q165193,Avenged Sevenfold,Q942820
Q165193,Avenged Sevenfold,Q3773408
Q164140,Dungeon Family,Q202585
Q164510,Caustic Christ,Q5684027
Q163597,Horse the Band,Q1113541
Q165193,Avenged Sevenfold,Q21077
Q139722,The Forester Sisters,Q843402
Q139444,The Shadows of Knight,Q202440
Q139444,The Shadows of Knight,Q585643
Q139444,The Shadows of Knight,Q5315806
Q142636,Dixie Chicks,Q183387
Q142636,Dixie Chicks,Q330629
Q142636,Dixie Chicks,Q1946521
Q144284,Absu,Q37479
Q144284,Absu,Q56598769
Q143857,Diamond Plate,Q838544
Q145515,The Mountain Goats,Q238095
Q145515,The Mountain Goats,Q1921640
Q48995,"Blood, Sweat & Tears",Q183387
Q48995,"Blood, Sweat & Tears",Q287177
Q48992,Buffalo Springfield,Q585643
Q16414,Death Cab for Cutie,Q21077
Q16414,Death Cab for Cutie,Q202440
Q16414,Death Cab for Cutie,Q809177
Q131366,Disturbed,Q645889
Q131366,Disturbed,Q843402
Q131366,Disturbed,Q1402435
Q55809,La Coka Nostra,Q3549209
Q12831,Gossip,Q4839198
Q128010,Fear Factory,Q18628
Q128010,Fear Factory,Q158886
Q128010,Fear Factory,Q852900
Q58391,The Shins,Q183387
Q58391,The Shins,Q778673
Q59965,The Kingston Trio,Q193023
Q59965,The Kingston Trio,Q557632
Q61113,Foster the People,Q183387
Q61113,Foster the People,Q7602560
Q61113,Foster the People,Q16860915
Q52463,Wu-Tang Clan,Q202585
Q52463,Wu-Tang Clan,Q528124
Q52463,Wu-Tang Clan,Q1998195
Q52463,Wu-Tang Clan,Q7392802
Q52463,Wu-Tang Clan,Q17151258
Q28974,"Earth, Wind & Fire",Q843402
Q29779,3T,Q216364
Q28231,The Tokens,Q7971173
Q169516,The Kelly Family,Q38903
Q169516,The Kelly Family,Q155152
Q169516,The Kelly Family,Q183412
Q169516,The Kelly Family,Q662575
Q169516,The Kelly Family,Q770103
Q169516,The Kelly Family,Q796316
Q169472,Zebrahead,Q183387
Q169472,Zebrahead,Q732503
Q168290,Unsane,Q1327994
Q169316,Plain White T's,Q387539
Q169316,Plain White T's,Q1399294
Q168519,Youth Brigade,Q1228431
Q125809,Robbers on High Street,Q4887811
Q127259,Leaders of the New School,Q726251
Q126977,Artists United Against Apartheid,Q183412
Q127140,The Ink Spots,Q1470329
Q42023,Jungle Brothers,Q843402
Q42023,Jungle Brothers,Q7969510
Q81509,Minor Threat,Q1228431
Q168016,Fade,Q4257395
Q168290,Unsane,Q438628
Q168290,Unsane,Q474627
Q168290,Unsane,Q657558
Q167970,Secret Chiefs 3,Q3566989
Q166315,Sanctuary,Q158867
Q167408,The Statler Brothers,Q183387
Q166433,The United States of America,Q183387
Q43267,The Jackson 5,Q216364
Q43267,The Jackson 5,Q3972237
Q43267,The Jackson 5,Q31839
Q43267,The Jackson 5,Q43327
Q153056,Destiny's Child,Q183387
Q153056,Destiny's Child,Q726251
Q147129,Zao,Q675208
Q150021,The Desert Sessions,Q7310646
Q170487,112,Q798658
Q175044,12 Stones,Q1473565
Q175052,Day26,Q202440
Q175052,Day26,Q796316
Q175052,Day26,Q798658
Q157041,The Offspring,Q183387
Q157041,The Offspring,Q726153
Q166006,The Lemonheads,Q1758003
Q165846,Operation Ivy,Q430070
Q158462,Lynyrd Skynyrd,Q202440
Q158462,Lynyrd Skynyrd,Q304509
Q158462,Lynyrd Skynyrd,Q1984458
Q158462,Lynyrd Skynyrd,Q2338889
Q592983,Headlights,Q996818
Q591677,Aus-Rotten,Q5684027
Q591691,Sublime,Q7537030
Q591691,Sublime,Q19768394
Q593809,Assemblage 23,Q2333358
Q593809,Assemblage 23,Q2563701
Q132005,Strong Arm Steady,Q2905590
Q38359,Lucero,Q38903
Q40585,Thirty Seconds to Mars,Q38903
Q134233,Jonas Brothers,Q38903
Q134233,Jonas Brothers,Q54860
Q134233,Jonas Brothers,Q183387
Q134233,Jonas Brothers,Q387539
Q134233,Jonas Brothers,Q2604329
Q134233,Jonas Brothers,Q4413456
Q136591,ZZ Top,Q21077
Q136591,ZZ Top,Q183387
Q136591,ZZ Top,Q202585
Q136591,ZZ Top,Q466649
Q136591,ZZ Top,Q843402
Q136591,ZZ Top,Q935090
Q175362,Urge Overkill,Q1853623
Q175362,Urge Overkill,Q3453655
Q175514,King's X,Q202440
Q175514,King's X,Q477213
Q176305,Reveille,Q726251
Q176430,The Presidents of the United States of America,Q2930498
Q176430,The Presidents of the United States of America,Q7228960
Q154543,D12,Q231694
Q154543,D12,Q568246
Q44637,Hollywood Undead,Q155152
Q44637,Hollywood Undead,Q800080
Q44637,Hollywood Undead,Q38903
Q137769,Fu Manchu,Q158867
Q137769,Fu Manchu,Q5206081
Q139154,Zac Brown Band,Q202440
Q139154,Zac Brown Band,Q4906887
Q31342,Mars,Q3421743
Q30509,Bratmobile,Q1741329
Q32542,The Magnetic Fields,Q1849138
Q32542,The Magnetic Fields,Q1921640
Q32542,The Magnetic Fields,Q9371062
Q32206,The Toys,Q5319224
Q102385,The Pussycat Dolls,Q38903
Q102385,The Pussycat Dolls,Q155152
Q102385,The Pussycat Dolls,Q231694
Q102385,The Pussycat Dolls,Q277626
Q129050,The Shangri-Las,Q7303751
Q128012,Zappa Plays Zappa,Q7299616
Q130563,Nevermore,Q158867
Q128443,The Smithereens,Q193023
Q128443,The Smithereens,Q1273666
Q159329,Fugees,Q7377914
Q158611,+44,Q231694
Q175097,3 Doors Down,Q38903
Q175097,3 Doors Down,Q4413456
Q175075,13 & God,Q575017
Q43259,No Doubt,Q231694
Q43259,No Doubt,Q4818262
Q43259,No Doubt,Q38903
Q520646,Truly,Q193023
Q521523,Me First and the Gimme Gimmes,Q605388
Q519725,Prince and the Revolution,Q2280168
Q523184,The Flaming Lips,Q843402
Q522463,Circle Jerks,Q726153
Q162586,Dream Theater,Q18628
Q162653,Seven Witches,Q702340
Q157497,Bloodhound Gang,Q183387
Q603579,Circa Survive,Q264980
Q603579,Circa Survive,Q942820
Q604695,Voodoo Glow Skulls,Q726153
Q603579,Circa Survive,Q2117925
Q603853,Luna Halo,Q2504576
Q603402,Dem Franchize Boyz,Q2482872
Q603343,We Are the Fallen,Q1025106
Q573067,The Gaslight Anthem,Q165745
Q573067,The Gaslight Anthem,Q190585
Q573017,Swans,Q183412
Q573017,Swans,Q203059
Q573017,Swans,Q240804
Q573017,Swans,Q264137
Q573017,Swans,Q510092
Q573017,Swans,Q753819
Q573017,Swans,Q1626081
Q573017,Swans,Q2161263
