band,bandLabel,member,memberLabel
Q12831,Gossip,Q3126833,Hannah Blilie
Q12831,Gossip,Q12827,Beth Ditto
Q48978,LMFAO,Q7537152,Sky Blu
Q48978,LMFAO,Q2938630,Redfoo
Q165193,Avenged Sevenfold,Q342526,Synyster Gates
Q165193,Avenged Sevenfold,Q128088,M. Shadows
Q165193,Avenged Sevenfold,Q657604,Zacky Vengeance
Q16414,Death Cab for Cutie,Q2240506,Chris Walla
Q16414,Death Cab for Cutie,Q2132268,Nathan Good
Q16414,Death Cab for Cutie,Q816502,Ben Gibbard
Q165193,Avenged Sevenfold,Q2636051,Arin Ilejay
Q48992,Buffalo Springfield,Q633,Neil Young
Q48992,Buffalo Springfield,Q48999,Richie Furay
Q48992,Buffalo Springfield,Q354496,Stephen Stills
Q48992,Buffalo Springfield,Q1872228,Dewey Martin
Q48992,Buffalo Springfield,Q2281146,Bruce Palmer
Q48992,Buffalo Springfield,Q1441274,Jim Fielder
Q165193,Avenged Sevenfold,Q1057003,The Rev
Q165193,Avenged Sevenfold,Q1771846,Johnny Christ
Q165193,Avenged Sevenfold,Q772463,Brooks Wackerman
Q48992,Buffalo Springfield,Q3088816,Jim Messina
Q48992,Buffalo Springfield,Q6387963,Ken Koblun
Q16414,Death Cab for Cutie,Q6163080,Jason McGerr
Q16414,Death Cab for Cutie,Q2671833,Nick Harmer
Q16414,Death Cab for Cutie,Q6834199,Michael Schorr
Q169516,The Kelly Family,Q20057029,Barby Kelly
Q123320,The Avett Brothers,Q6847809,Mike Marsh
Q127135,Gnarkill,Q711024,Brandon DiCamillo
Q117669,Street Dogs,Q1933310,Mike McColgan
Q118966,Black Oak Arkansas,Q366588,Tommy Aldridge
Q116936,The dB's,Q7174717,Peter Holsapple
Q52463,Wu-Tang Clan,Q470619,Inspectah Deck
Q52463,Wu-Tang Clan,Q361657,Gza
Q52463,Wu-Tang Clan,Q336924,Ol' Dirty Bastard
Q40585,Thirty Seconds to Mars,Q484523,Jared Leto
Q131366,Disturbed,Q2555410,Steve Kmak
Q131366,Disturbed,Q17253605,Erich Awalt
Q131366,Disturbed,Q74908,Dan Donegan
Q127259,Leaders of the New School,Q59185,Busta Rhymes
Q48995,"Blood, Sweat & Tears",Q455605,Al Kooper
Q134233,Jonas Brothers,Q191088,Joe Jonas
Q134233,Jonas Brothers,Q201656,Nick Jonas
Q154543,D12,Q364526,Bizarre
Q154543,D12,Q465127,Mr. Porter
Q128010,Fear Factory,Q10329944,Mike Heller
Q128010,Fear Factory,Q713854,Tony Campos
Q128010,Fear Factory,Q1017117,Burton C. Bell
Q128010,Fear Factory,Q944494,Dino Cazares
Q52463,Wu-Tang Clan,Q733198,U-God
Q52463,Wu-Tang Clan,Q733802,Masta Killa
Q52463,Wu-Tang Clan,Q969016,Cappadonna
Q52463,Wu-Tang Clan,Q298694,Method Man
Q52463,Wu-Tang Clan,Q52447,RZA
Q28231,The Tokens,Q21400463,Jay Siegel
Q134233,Jonas Brothers,Q210172,Kevin Jonas
Q131366,Disturbed,Q30570,David Draiman
Q131366,Disturbed,Q74889,John Moyer
Q131366,Disturbed,Q74902,Mike Wengren
Q11647,Nine Inch Nails,Q282722,Trent Reznor
Q11647,Nine Inch Nails,Q520346,Atticus Ross
Q72608,Big Star,Q206693,Alex Chilton
Q72839,The Box Tops,Q206693,Alex Chilton
Q68061,Cage the Elephant,Q1818909,Matthew Shultz
Q66413,Awolnation,Q2820029,Aaron Bruno
Q154543,D12,Q550127,Kuniva
Q154543,D12,Q1344631,Swifty McVay
Q776315,Arc Angels,Q246538,Doyle Bramhall II
Q778278,Murderdolls,Q295817,Joey Jordison
Q772684,Nitro,Q1382099,Jim Gillette
Q778278,Murderdolls,Q538634,Wednesday 13
Q28974,"Earth, Wind & Fire",Q1295870,Maurice White
Q28231,The Tokens,Q312743,Neil Sedaka
Q32542,The Magnetic Fields,Q5129177,Claudia Gonson
